,Year,Dairy Cows,Beef Cows
0,1980,3228,1478
1,1981,3191,1447
2,1982,3250,1415
3,1983,3333,1383
4,1984,3281,1377
5,1985,3150,1359
6,1986,3138,1334
7,1987,3043,1373
8,1988,2913,1404
9,1989,2866,1525
10,1990,2848,1632
11,1991,2771,1700
12,1992,2683,1731
13,1993,2668,1784
14,1994,2716,1809
15,1995,2603,1840
16,1996,2587,1864
17,1997,2478,1862
18,1998,2439,1947
19,1999,2440,1924
20,2000,2336,1842
21,2001,2251,1708
22,2002,2227,1657
23,2003,2191,1698
24,2004,2129,1736
25,2005,1998,1751
26,2006,1963,1745
27,2007,1937,1709
28,2008,1892,1678
29,2009,1838,1633
30,2010,1830,1668
31,2011,1796,1687
32,2012,1796,1666
33,2013,1782,1611
34,2014,1841,1569
35,2015,1895,1576
36,2016,1897,1596
37,2017,1891,1589
38,2018,1883,1558
39,2019,1871,1527
40,2020,1850,1509
41,2021,1850,1485
42,2022,1842,1463
43,2023,1836,1407
