,Year,Mass
0,1980,1096
1,1981,1037
2,1982,981
3,1983,1044
4,1984,1139
5,1985,1137
6,1986,1064
7,1987,1125
8,1988,953
9,1989,985
10,1990,1002
11,1991,1028
12,1992,973
13,1993,888
14,1994,947
15,1995,1002
16,1996,710
17,1997,698
18,1998,695
19,1999,679
20,2000,704
21,2001,645
22,2002,694
23,2003,703
24,2004,724
25,2005,765
26,2006,852
27,2007,888
28,2008,866
29,2009,823
30,2010,897
31,2011,931
32,2012,877
33,2013,840
34,2014,871
35,2015,880
36,2016,916
37,2017,904
38,2018,901
39,2019,917
40,2020,937
41,2021,910
42,2022,926
43,2023,904
