Name,Total_Google_Results_for_query_Nov_2024
Advertising Networks,4570000000
Hardware,1730000000
Identity,2610000000
Education,9360000000
Mobile Payments,4780000000
Online Dating,1770000000
Lighting,2710000000
Cloud Infrastructure,603000000
Investment Management,1680000000
Local Search,7260000000
Families,2350000000
Startups,1630000000
Television,2990000000
Business Development,3610000000
Business Information Systems,7380000000
Smart Grid,277000000
Real Estate,3910000000
Beauty,6390000000
SaaS,375000000
Universities,1550000000
Mobile Emergency&Health,4700000
Natural Resources,2410000000
Data Center Automation,431000000
Fraud Detection,68800000
Data Center Infrastructure,875000000
Online Reservations,758000000
Chat,8500000000
World Domination,137000000
Charity,1310000000
Wind,2490000000
Search,32550000000
Enterprise Purchasing,150000000
Drones,800000000
Trusted Networks,1780000000
Hardware + Software,1110000000
Text Analytics,1910000000
Visualization,945000000
Vacation Rentals,247000000
Tablets,5220000000
Accounting,1870000000
Group Buying,4700000000
Solar,1840000000
Customer Support Tools,2170000000
Bio-Pharm,63300000
Crowdsourcing,36600000
Software,5770000000
Internet Technology,4190000000
Crowdfunding,66000000
Commodities,540000000
Outdoors,3450000000
Business Analytics,1900000000
Moneymaking,78900000
Predictive Analytics,169000000
Social Search,8520000000
Social Bookmarking,140000000
Virtual Worlds,2190000000
Professional Networking,2430000000
Enterprise Software,4750000000
Business Productivity,692000000
Public Safety,3900000000
Local Advertising,3270000000
VoIP,93100000
Teachers,6200000000
Lifestyle Products,1540000000
Publishing,4370000000
Advertising Exchanges,1810000000
Distributors,686000000
Rental Housing,489000000
Real Estate Investors,781000000
Communications Hardware,212000000
Visual Search,2940000000
Opinions,4010000000
Water,8700000000
Telephony,89500000
Oil & Gas,1060000000
Local Coupons,263000000
3D,7920000000
Charter Schools,152000000
Health Care Information Technology,1770000000
Film Production,6420000000
Social Media Monitoring,831000000
Lead Generation,1370000000
Internet,16610000000
Adventure Travel,1120000000
3D Technology,1910000000
Therapeutics,886000000
Browser Extensions,1550000000
Finance Technology,4140000000
Mobile Social,4290000000
Personal Finance,2360000000
Social Television,1210000000
Electrical Distribution,612000000
B2B,689000000
Messaging,613000000
Language Learning,6880000000
Service Industries,1590000000
Medical,8180000000
Displays,5570000000
Celebrity,2690000000
Virtual Goods,223000000
Social Media Advertising,3090000000
Senior Health,2190000000
Unifed Communications,8580000
Diagnostics,1540000000
Direct Sales,2050000000
Outsourcing,234000000
Social Media Management,4650000000
Fashion,3710000000
Gift Card,2220000000
