Borough,Theft-related Criminal Acts
Barking and Dagenham,6690
Barnet,11469
Bexley,5395
Brent,13125
Bromley,10140
Camden,28138
Croydon,12143
Ealing,13507
Enfield,11244
Greenwich,9678
Hackney,17709
Hammersmith and Fulham,10949
Haringey,14464
Harrow,7045
Havering,8048
Hillingdon,10876
Hounslow,11491
Islington,16625
Kensington and Chelsea,14150
Kingston upon Thames,5413
Lambeth,17803
Lewisham,11600
London Heathrow and London City Airports,714
Merton,5648
Newham,20250
Redbridge,9529
Richmond upon Thames,5878
Southwark,22331
Sutton,4506
Tower Hamlets,15984
Unknown,10688
Waltham Forest,10634
Wandsworth,11804
Westminster,77532
