,Year,Value
0,1973,566
1,1974,575
2,1975,687
3,1976,884
4,1977,979
5,1978,1125
6,1979,1365
7,1980,1393
8,1981,1540
9,1982,1722
10,1983,1680
11,1984,1810
12,1985,1774
13,1986,1671
14,1987,1721
15,1988,1783
16,1989,1946
17,1990,1777
18,1991,1854
19,1992,1787
20,1993,2004
21,1994,2042
22,1995,2066
23,1996,1234
24,1997,1161
25,1998,1053
26,1999,1145
27,2000,1094
28,2001,955
29,2002,1146
30,2003,1227
31,2004,1279
32,2005,1466
33,2006,1561
34,2007,1623
35,2008,2071
36,2009,2131
37,2010,2154
38,2011,2573
39,2012,2794
40,2013,2886
41,2014,2611
42,2015,2757
43,2016,2775
44,2017,2988
45,2018,2953
46,2019,2729
47,2020,2961
48,2021,3349
49,2022,3750
50,2023,3908
