,Year,"Cattle, dairy","Cattle, beef","Chickens, broilers","Chickens, layers",Sheep,"Swine, breeding","Swine, market"
0,1961,581.6772,489.0656,,,238.0828,6.3548,40.8523
1,1962,460.0749,539.701,,,242.4607,7.0684,45.4396
2,1963,453.556,533.6218,,,241.2307,7.21,46.3498
3,1964,443.3333,532.7279,,,243.8457,7.7563,49.8619
4,1965,446.4173,551.436,,,245.9384,8.3864,53.9128
5,1966,444.9152,568.7663,,,246.3513,7.7063,49.5406
6,1967,450.7123,574.618,,,237.5749,7.3637,47.3381
7,1968,452.6254,561.6748,,,230.335,7.7624,49.9009
8,1969,459.5052,572.622,,,218.8144,8.1788,52.5778
9,1970,455.9198,587.3962,,,214.4952,8.4989,54.6355
10,1971,454.5244,602.0888,,,213.6657,9.1676,58.9348
11,1972,467.218,639.0704,,,220.9908,9.0581,58.2308
12,1973,481.5431,693.1794,1.5482,10.6993,229.7254,9.4361,60.6608
13,1974,468.405,746.9157,1.5716,9.7749,234.275,8.9789,57.7214
14,1975,466.578,717.1343,1.5023,10.0803,232.3012,7.9168,50.8937
15,1976,447.396,682.101,1.5941,10.0537,231.4904,8.3444,53.6422
16,1977,457.884,654.822,1.3606,10.1736,163.325,8.5795,55.1542
17,1978,468.096,641.088,1.2534,10.4584,168.4438,8.1407,52.3327
18,1979,459.954,642.915,1.3445,9.9749,177.8459,8.3853,53.9055
19,1980,459.954,631.89,1.2662,9.5948,176.9778,8.2036,52.7377
20,1981,466.026,610.155,1.1862,9.2124,176.9368,8.1585,52.4475
21,1982,454.434,626.913,1.2723,9.3324,181.818,8.4241,54.1553
22,1983,463.266,625.779,1.3019,8.584,187.9114,8.5827,55.1745
23,1984,473.064,616.455,1.0266,10.8923,190.9663,8.0734,51.9008
24,1985,457.056,604.737,1.0378,10.6394,196.1177,8.2583,53.0887
25,1986,449.466,584.388,1.0913,10.4192,303.2839,8.3339,53.5748
26,1987,447.396,562.464,1.3705,10.6192,317.5754,8.3401,53.6153
27,1988,421.176,556.416,1.4414,10.1821,336.0193,8.3811,53.8785
28,1989,410.55,567.0,1.3966,9.1997,352.2683,7.8845,50.6857
29,1990,396.083,580.1565,1.4645,9.3623,358.9513,7.8225,50.2875
30,1991,384.9711,573.0073,1.5065,9.4537,357.4034,7.9768,51.2797
31,1992,370.254,582.183,1.3041,9.3042,364.7826,8.0923,52.0222
32,1993,368.184,578.529,1.4349,9.315,363.9308,8.2456,53.0078
33,1994,374.808,581.994,1.3569,9.2793,358.8285,8.2866,53.271
34,1995,359.214,583.002,1.3928,9.0791,354.6598,8.0084,51.4823
35,1996,357.006,595.539,1.4112,9.058,344.6843,7.9695,51.2325
36,1997,341.964,576.765,1.9089,10.0075,350.7204,8.4756,54.486
37,1998,336.582,572.04,1.7677,8.9895,364.2175,8.5533,54.9855
38,1999,336.72,565.929,1.8412,8.7849,365.7326,7.6482,49.167
39,2000,324.852,553.077,2.1138,8.8892,346.1422,6.8061,43.7535
40,2001,310.638,525.987,2.2506,9.3499,300.704,6.1372,39.4537
41,2002,307.3536,511.2954,2.1027,9.0811,293.4828,5.8674,37.719
42,2003,302.5374,524.4561,2.3355,8.8404,293.5787,5.2991,34.0659
43,2004,294.3126,530.3529,2.3599,8.7291,293.5951,5.4186,34.834
44,2005,275.6826,552.6675,2.2299,8.9291,288.7225,5.1068,32.8293
45,2006,273.0744,541.8126,2.2134,8.6552,284.3732,5.1796,33.2978
46,2007,269.652,526.05,2.1959,8.6896,278.0177,5.0757,32.6295
47,2008,263.442,516.474,2.1972,8.0709,271.3429,4.9497,31.8195
48,2009,257.232,514.143,2.3325,7.7689,257.5346,4.767,30.645
49,2010,255.3,520.506,2.0979,8.5782,254.578,4.683,30.105
50,2011,250.47,511.434,2.0478,8.8519,259.0825,4.6631,29.9767
51,2012,248.124,510.426,2.0473,8.4919,263.8408,4.7051,30.2467
52,2013,247.572,507.15,2.0995,8.5631,269.0906,5.1292,32.9738
53,2014,255.438,503.118,2.24,8.5587,276.3552,5.0557,32.5012
54,2015,262.338,505.134,2.0908,9.5532,273.03,4.976,31.9883
55,2016,261.786,512.568,2.1506,9.7367,277.9932,5.1093,32.8455
56,2017,261.786,510.741,2.34,9.8334,285.2741,5.2175,33.5408
57,2018,259.578,504.693,2.4069,10.4993,276.6664,5.3078,34.1213
58,2019,257.646,495.936,2.375,10.4248,275.0202,5.3319,34.2765
59,2020,256.128,488.817,2.3128,10.2633,267.7884,5.3078,34.1213
60,2021,256.542,487.872,2.4337,10.6193,269.9178,5.5892,35.9303
61,2022,255.3,490.266,2.4171,10.5879,270.8105,5.4516,35.046
