Year,"Liquid wholemilk, including school and welfare/ml",Other milk and cream/nl
1974,2687,291
1975,2715,272
1976,2679,282
1977,2579,276
1978,2523,287
1979,2450,315
1980,2371,316
1981,2287,325
1982,2258,320
1983,2172,350
1984,2064,462
1985,1904,510
1986,1743,688
1987,1648,735
1988,1526,825
1989,1388,917
1990,1242,992
1991,1113,1085
1992,1003,1295
1993,905,1347
1994,877,1388
1995,818,1427
1996,788,1392
1997,725,1448
1998,705,1422
1999,646,1439
2000,680,1484
2001,609,1424
2002,572,1435
2003,602,1439
2004,497,1499
2005,475,1552
2006,490,1532
2007,432,1552
2008,420,1537
2009,421,1583
2010,352,1545
2011,355,1549
2012,297,1604
2013,285,1562
2014,263,1586
2015,312,1515
2016,317,1490
2017,300,1519
2018,297,1489
2019,329,1511
2020,302,1443
2021,311,1480
2022,254,1381
2023,295,1238
