,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
7,1908,1,5.0,-1.4,21.0,,29.7,,1908-01-01,1.8
8,1908,2,7.3,1.9,8.0,,71.9,,1908-02-01,4.6
9,1908,3,6.2,0.3,13.0,,101.4,,1908-03-01,3.25
10,1908,4,8.6,2.1,5.0,,128.6,,1908-04-01,5.35
11,1908,5,15.8,7.7,0.0,,180.4,,1908-05-01,11.75
12,1908,6,17.7,8.7,0.0,,196.9,,1908-06-01,13.2
13,1908,7,18.9,11.0,0.0,,196.1,,1908-07-01,14.95
14,1908,8,17.5,9.7,0.0,,187.2,,1908-08-01,13.6
15,1908,9,16.3,8.4,0.0,,99.5,,1908-09-01,12.350000000000001
16,1908,10,14.6,8.0,0.0,,56.1,,1908-10-01,11.3
17,1908,11,9.6,3.4,6.0,,28.4,,1908-11-01,6.5
