,Max_Temp,Min_Temp,Avg_Temp,Air_Frost,Total_Rainfall,Sunshine_Duration,Points,GF,GA,Goals per game
Max_Temp,1.0,0.9728833938888286,0.99480050434753,-0.8497642027001557,-0.3258261933409632,0.8201837645673391,-0.15470788634232144,0.20573884706082096,0.21593516739124274,0.32510776646615297
Min_Temp,0.9728833938888286,1.0,0.9913807376165182,-0.8146589529220276,-0.1484474416419846,0.6754352948115733,-0.21975089461855965,0.2526130496820588,0.3346340022138028,0.45304286871567023
Avg_Temp,0.99480050434753,0.9913807376165182,1.0,-0.8400345636213604,-0.24992011000969677,0.7619773577183336,-0.18438997817590821,0.22776493362741693,0.2696553332095391,0.38363064251935614
Air_Frost,-0.8497642027001557,-0.8146589529220276,-0.8400345636213604,1.0,0.5035174433617602,-0.7884531564682608,0.2130731153665436,-0.13010792428099596,-0.1878456759384539,-0.24534624834421118
Total_Rainfall,-0.3258261933409632,-0.1484474416419846,-0.24992011000969677,0.5035174433617602,1.0,-0.6610505245911091,-0.24456528927880575,-0.10702775026342709,0.44303219391470516,0.26128993809138207
Sunshine_Duration,0.8201837645673391,0.6754352948115733,0.7619773577183336,-0.7884531564682608,-0.6610505245911091,1.0,-0.014627235625314936,-0.013541177971899437,-0.04511805058082493,-0.04535011755093705
Points,-0.15470788634232144,-0.21975089461855965,-0.18438997817590821,0.2130731153665436,-0.24456528927880575,-0.014627235625314936,1.0,0.7152301329996226,-0.6618240433668559,0.03549681980436458
GF,0.20573884706082096,0.2526130496820588,0.22776493362741693,-0.13010792428099596,-0.10702775026342709,-0.013541177971899437,0.7152301329996226,1.0,-0.15867430527467516,0.6437986663900723
GA,0.21593516739124274,0.3346340022138028,0.2696553332095391,-0.1878456759384539,0.44303219391470516,-0.04511805058082493,-0.6618240433668559,-0.15867430527467516,1.0,0.6533463518881261
Goals per game,0.32510776646615297,0.45304286871567023,0.38363064251935614,-0.24534624834421118,0.26128993809138207,-0.04535011755093705,0.03549681980436458,0.6437986663900723,0.6533463518881261,1.0
