,Max_Temp,Min_Temp,Avg_Temp,Air_Frost,Total_Rainfall,Sunshine_Duration,Points,GF,GA,Goals per game
Max_Temp,1.0,0.9748493791627459,0.9949607309208747,-0.9601077127838178,-0.10764955246761841,0.7416004819329027,-0.47558766047063095,-0.4316739489336802,-0.6183246299572528,-0.5888135866848319
Min_Temp,0.9748493791627459,1.0,0.9922824649071693,-0.9423815757473076,0.0259606976700989,0.5928901221979594,-0.5362422298277233,-0.44275058909612625,-0.5264120545384198,-0.5526273937738649
Avg_Temp,0.9949607309208747,0.9922824649071693,1.0,-0.9581583126769511,-0.04821477511790586,0.6793508327030421,-0.5058604566577984,-0.4393663678681231,-0.5808542699471332,-0.576228951199316
Air_Frost,-0.9601077127838178,-0.9423815757473076,-0.9581583126769511,1.0,0.15583465221444334,-0.7382365756137611,0.3243622851696223,0.30071095218953,0.5802126090567342,0.48131778788020924
Total_Rainfall,-0.10764955246761841,0.0259606976700989,-0.04821477511790586,0.15583465221444334,1.0,-0.4642983498066055,-0.41441301361285304,0.1850575380317818,0.4954239884801602,0.3620530912452952
Sunshine_Duration,0.7416004819329027,0.5928901221979594,0.6793508327030421,-0.7382365756137611,-0.4642983498066055,1.0,-0.12028821681915848,-0.04622491398410781,-0.5737837695862593,-0.30462011101035447
Points,-0.47558766047063095,-0.5362422298277233,-0.5058604566577984,0.3243622851696223,-0.41441301361285304,-0.12028821681915848,1.0,0.5062695443460714,-0.16292671410913784,0.26789046565337216
GF,-0.4316739489336802,-0.44275058909612625,-0.4393663678681231,0.30071095218953,0.1850575380317818,-0.04622491398410781,0.5062695443460714,1.0,0.4741567714542742,0.907973625919943
GA,-0.6183246299572528,-0.5264120545384198,-0.5808542699471332,0.5802126090567342,0.4954239884801602,-0.5737837695862593,-0.16292671410913784,0.4741567714542742,1.0,0.7994504378105162
Goals per game,-0.5888135866848319,-0.5526273937738649,-0.576228951199316,0.48131778788020924,0.3620530912452952,-0.30462011101035447,0.26789046565337216,0.907973625919943,0.7994504378105162,1.0
