Year,Unnamed: 0,Month,Tmax,Tmin,AF,Rain,Sun,Tmean
2010,756.5,6.5,14.441666666666668,6.733333333333333,4.666666666666667,43.449999999999996,114.20833333333333,10.5875
2011,768.5,6.5,16.341666666666665,8.333333333333334,1.4166666666666667,42.43333333333333,128.34166666666667,12.3375
2012,780.5,6.5,15.200000000000001,7.383333333333333,2.5833333333333335,58.949999999999996,125.21666666666665,11.291666666666666
2013,792.5,6.5,14.908333333333333,7.283333333333334,2.9166666666666665,46.675000000000004,121.03333333333335,11.095833333333333
2014,804.5,6.5,16.599999999999998,8.65,0.8333333333333334,72.0,139.03333333333333,12.625
2015,816.5,6.5,15.991666666666667,8.166666666666666,1.75,46.833333333333336,125.64166666666667,12.079166666666666
2016,828.5,6.5,15.875,7.925,1.9166666666666667,49.21666666666667,122.80833333333334,11.9
2017,840.5,6.5,16.099999999999998,8.25,2.0833333333333335,47.68333333333334,121.0,12.174999999999999
2018,852.5,6.5,16.650000000000002,8.299999999999999,1.9166666666666667,48.333333333333336,142.06666666666666,12.475
2019,864.5,6.5,16.433333333333334,7.8999999999999995,1.5833333333333333,54.35,128.84166666666667,12.166666666666666
2020,876.5,6.5,16.858333333333334,8.316666666666666,1.3333333333333333,55.21666666666667,134.48333333333335,12.5875
2021,888.5,6.5,15.591666666666667,7.75,2.5833333333333335,55.199999999999996,103.05,11.670833333333334
2022,900.5,6.5,17.224999999999998,8.450000000000001,2.0833333333333335,48.13333333333333,139.25,12.8375
2023,912.5,6.5,16.741666666666667,8.65,1.9166666666666667,63.90909090909091,125.45833333333333,12.695833333333333
