,Max_Temp,Min_Temp,Avg_Temp,Air_Frost,Total_Rainfall,Sunshine_Duration,Enjoyment,Raw
0,21.6,13.2,17.4,0.0,88.6,110.9,1.4432867685796584,39.0
1,21.6,13.2,17.4,0.0,88.6,110.9,-0.4228539261329407,-2.25
2,21.6,13.2,17.4,0.0,88.6,110.9,1.4432867685796584,39.0
3,21.6,13.2,17.4,0.0,88.6,110.9,0.6747409422235527,4.0
4,21.6,13.2,17.4,0.0,88.6,110.9,0.9505468408120751,7.0
5,19.4,11.2,15.3,0.0,38.2,128.7,1.299849476456476,18.0
6,19.4,11.2,15.3,0.0,38.2,128.7,-0.4228539261329407,-2.25
7,19.4,11.2,15.3,0.0,38.2,128.7,0.8760580505981934,6.0
8,19.4,11.2,15.3,0.0,38.2,128.7,1.313472611823808,19.0
9,19.4,11.2,15.3,0.0,38.2,128.7,-0.23554498072086333,-1.2
10,19.4,11.2,15.3,0.0,38.2,128.7,0.0,0.0
11,19.4,11.2,15.3,0.0,38.2,128.7,0.6747409422235527,4.0
12,15.2,8.3,11.75,1.0,74.8,104.0,0.3805063771123649,2.0
13,15.2,8.3,11.75,1.0,74.8,104.0,0.9505468408120751,7.0
14,15.2,8.3,11.75,1.0,74.8,104.0,0.8760580505981934,6.0
15,15.2,8.3,11.75,1.0,74.8,104.0,-0.26060239174734096,-1.3333333333333333
16,15.2,8.3,11.75,1.0,74.8,104.0,0.9505468408120751,7.0
17,15.2,8.3,11.75,1.0,74.8,104.0,-0.26060239174734096,-1.3333333333333333
18,15.2,8.3,11.75,1.0,74.8,104.0,0.9505468408120751,7.0
19,15.2,8.3,11.75,1.0,74.8,104.0,0.6747409422235527,4.0
20,9.1,4.0,6.55,7.0,32.2,50.0,0.3805063771123649,2.0
21,9.1,4.0,6.55,7.0,32.2,50.0,-0.3805063771123649,-2.0
22,9.1,4.0,6.55,7.0,32.2,50.0,0.6747409422235527,4.0
23,9.1,4.0,6.55,7.0,32.2,50.0,0.6747409422235527,4.0
24,9.1,4.0,6.55,7.0,32.2,50.0,0.0,0.0
25,9.1,4.0,6.55,7.0,32.2,50.0,-0.5880026035475676,-3.3333333333333335
26,9.1,4.0,6.55,7.0,32.2,50.0,-0.23554498072086333,-1.2
27,9.1,4.0,6.55,7.0,32.2,50.0,-0.5693131911006619,-3.2
28,9.1,4.0,6.55,7.0,32.2,50.0,0.3805063771123649,2.0
29,9.1,4.0,6.55,7.0,32.2,50.0,1.1441688336680205,11.0
30,3.9,-1.5,1.2,21.0,21.4,18.5,0.8760580505981934,6.0
31,3.9,-1.5,1.2,21.0,21.4,18.5,0.3805063771123649,2.0
32,3.9,-1.5,1.2,21.0,21.4,18.5,-0.4228539261329407,-2.25
33,3.9,-1.5,1.2,21.0,21.4,18.5,0.0,0.0
34,3.9,-1.5,1.2,21.0,21.4,18.5,-0.4228539261329407,-2.25
35,3.9,-1.5,1.2,21.0,21.4,18.5,1.1441688336680205,11.0
36,3.9,-1.5,1.2,21.0,21.4,18.5,0.3805063771123649,2.0
37,3.9,-1.5,1.2,21.0,21.4,18.5,0.6747409422235527,4.0
38,7.4,2.8,5.1,8.0,76.8,35.6,0.9505468408120751,7.0
39,7.4,2.8,5.1,8.0,76.8,35.6,0.8760580505981934,6.0
40,7.4,2.8,5.1,8.0,76.8,35.6,1.1760052070951352,12.0
41,7.4,2.8,5.1,8.0,76.8,35.6,0.0,0.0
42,7.4,2.8,5.1,8.0,76.8,35.6,0.9505468408120751,7.0
43,7.4,2.8,5.1,8.0,76.8,35.6,-0.5880026035475676,-3.3333333333333335
44,7.4,2.8,5.1,8.0,76.8,35.6,0.9505468408120751,7.0
45,7.4,2.8,5.1,8.0,76.8,35.6,1.1760052070951352,12.0
46,10.2,4.8,7.5,1.0,42.8,36.2,0.8760580505981934,6.0
47,10.2,4.8,7.5,1.0,42.8,36.2,0.6747409422235527,4.0
48,10.2,4.8,7.5,1.0,42.8,36.2,-0.3805063771123649,-2.0
49,10.2,4.8,7.5,1.0,42.8,36.2,-0.3805063771123649,-2.0
50,10.2,4.8,7.5,1.0,42.8,36.2,0.9505468408120751,7.0
51,10.2,4.8,7.5,1.0,42.8,36.2,0.0,0.0
52,10.2,4.8,7.5,1.0,42.8,36.2,0.6747409422235527,4.0
53,10.2,4.8,7.5,1.0,42.8,36.2,1.1441688336680205,11.0
