,Max_Temp,Min_Temp,Avg_Temp,Air_Frost,Total_Rainfall,Sunshine_Duration,Enjoyment,Raw
0,19.1,10.6,14.85,0.0,48.2,135.7,-0.26060239174734096,-1.3333333333333333
1,18.0,9.6,13.8,0.0,59.0,131.8,0.8760580505981934,6.0
2,18.0,9.6,13.8,0.0,59.0,131.8,0.3805063771123649,2.0
3,14.0,5.5,9.75,4.0,67.8,113.8,0.6747409422235527,4.0
4,14.0,5.5,9.75,4.0,67.8,113.8,-0.26060239174734096,-1.3333333333333333
5,8.0,0.8,4.4,13.0,34.6,75.4,1.0121970114513341,8.0
6,8.0,0.8,4.4,13.0,34.6,75.4,0.9505468408120751,7.0
7,8.0,0.8,4.4,13.0,34.6,75.4,0.3805063771123649,2.0
8,2.0,-5.8,-1.9,23.0,28.9,41.2,-0.3805063771123649,-2.0
9,2.0,-5.8,-1.9,23.0,28.9,41.2,-0.4636476090008061,-2.5
10,6.4,0.2,3.3000000000000003,16.0,49.2,50.2,0.9505468408120751,7.0
11,6.4,0.2,3.3000000000000003,16.0,49.2,50.2,0.9505468408120751,7.0
12,9.5,3.5,6.5,5.0,47.0,48.8,1.0121970114513341,8.0
13,9.5,3.5,6.5,5.0,47.0,48.8,0.3805063771123649,2.0
14,10.8,1.1,5.95,12.0,14.6,131.5,1.313472611823808,19.0
15,16.9,5.6,11.25,1.0,4.8,190.5,0.3805063771123649,2.0
16,16.9,5.6,11.25,1.0,4.8,190.5,1.1760052070951352,12.0
17,16.8,7.5,12.15,0.0,45.0,167.3,1.1441688336680205,11.0
18,16.8,7.5,12.15,0.0,45.0,167.3,-0.3805063771123649,-2.0
19,20.4,11.0,15.7,0.0,27.4,116.6,0.0,0.0
20,20.0,10.6,15.3,0.0,18.6,131.2,0.6747409422235527,4.0
21,20.0,10.6,15.3,0.0,18.6,131.2,0.3805063771123649,2.0
22,16.6,8.4,12.5,0.0,31.8,99.8,0.9505468408120751,7.0
23,16.6,8.4,12.5,0.0,31.8,99.8,-0.4228539261329407,-2.25
24,12.2,5.9,9.05,2.0,34.0,46.4,-0.23554498072086333,-1.2
25,12.2,5.9,9.05,2.0,34.0,46.4,1.1441688336680205,11.0
26,9.3,2.8,6.050000000000001,9.0,77.8,50.2,0.8760580505981934,6.0
27,9.3,2.8,6.050000000000001,9.0,77.8,50.2,0.0,0.0
28,9.3,2.8,6.050000000000001,9.0,77.8,50.2,0.6747409422235527,4.0
29,8.8,1.6,5.2,9.0,43.6,74.1,-0.26060239174734096,-1.3333333333333333
30,7.6,0.9,4.25,14.0,19.2,50.8,-0.3805063771123649,-2.0
31,7.6,0.9,4.25,14.0,19.2,50.8,0.9505468408120751,7.0
32,13.0,3.2,8.1,4.0,16.6,153.1,0.6747409422235527,4.0
33,13.0,3.2,8.1,4.0,16.6,153.1,0.3805063771123649,2.0
34,11.1,2.8,6.949999999999999,6.0,112.4,110.1,0.8760580505981934,6.0
35,11.1,2.8,6.949999999999999,6.0,112.4,110.1,0.3805063771123649,2.0
36,16.5,6.9,11.7,1.0,50.8,189.2,0.3805063771123649,2.0
37,16.5,6.9,11.7,1.0,50.8,189.2,0.6747409422235527,4.0
38,20.3,11.7,16.0,0.0,86.2,128.3,0.0,0.0
39,17.0,7.8,12.4,0.0,116.2,140.1,0.3805063771123649,2.0
40,17.0,7.8,12.4,0.0,116.2,140.1,0.9505468408120751,7.0
41,12.7,5.1,8.899999999999999,3.0,69.6,95.0,0.0,0.0
42,9.8,1.9,5.8500000000000005,10.0,86.8,63.5,0.6747409422235527,4.0
43,9.8,1.9,5.8500000000000005,10.0,86.8,63.5,0.6747409422235527,4.0
44,9.8,1.9,5.8500000000000005,10.0,86.8,63.5,0.8760580505981934,6.0
45,7.7,0.7,4.2,10.0,133.0,51.2,0.3805063771123649,2.0
46,7.7,0.7,4.2,10.0,133.0,51.2,1.1441688336680205,11.0
47,7.7,0.7,4.2,10.0,133.0,51.2,0.8760580505981934,6.0
48,6.0,0.6,3.3,18.0,73.1,30.5,-0.7044940642422177,-4.25
49,6.0,0.6,3.3,18.0,73.1,30.5,0.6747409422235527,4.0
50,6.1,-0.2,2.95,15.0,51.6,66.9,0.8760580505981934,6.0
51,5.7,-1.0,2.35,19.0,64.1,93.4,-0.3805063771123649,-2.0
52,5.7,-1.0,2.35,19.0,64.1,93.4,0.0,0.0
53,11.8,2.1,6.95,9.0,10.8,139.8,-0.4228539261329407,-2.25
54,11.8,2.1,6.95,9.0,10.8,139.8,-0.4636476090008061,-2.5
55,11.8,2.1,6.95,9.0,10.8,139.8,0.6747409422235527,4.0
56,14.7,5.5,10.1,0.0,84.0,163.7,-0.26060239174734096,-1.3333333333333333
57,20.8,11.5,16.15,0.0,66.2,125.5,0.8760580505981934,6.0
58,17.9,9.3,13.6,0.0,33.4,106.4,0.0,0.0
59,17.9,9.3,13.6,0.0,33.4,106.4,-0.3805063771123649,-2.0
60,15.6,9.0,12.3,0.0,96.6,75.3,0.0,0.0
61,9.5,2.4,5.95,8.0,66.0,67.0,0.3805063771123649,2.0
62,9.5,2.4,5.95,8.0,66.0,67.0,0.9505468408120751,7.0
63,9.8,2.4,6.1000000000000005,8.0,54.8,55.3,0.0,0.0
