League,Home,Away,INC,Round,Date,Time,H_Score,A_Score,HT_H_Score,HT_A_Score,WIN,H_BET,X_BET,A_BET,WIN_BET,OVER_2.5,OVER_3.5,H_15,A_15,H_45_50,A_45_50,H_90,A_90,H_Missing_Players,A_Missing_Players,Missing_Players,H_Ball_Possession,A_Ball_Possession,H_Goal_Attempts,A_Goal_Attempts,H_Shots_on_Goal,A_Shots_on_Goal,H_Attacks,A_Attacks,H_Dangerous_Attacks,A_Dangerous_Attacks,H_Shots_off_Goal,A_Shots_off_Goal,H_Blocked_Shots,A_Blocked_Shots,H_Free_Kicks,A_Free_Kicks,H_Corner_Kicks,A_Corner_Kicks,H_Offsides,A_Offsides,H_Throw_in,A_Throw_in,H_Goalkeeper_Saves,A_Goalkeeper_Saves,H_Fouls,A_Fouls,H_Yellow_Cards,A_Yellow_Cards,Game Link
premier-league,West Ham,Leicester,"[""26' Goal_Home - Fornals P.(Benrahma S.)"", ""40' Red_Card_Away - Perez A.(Ciężki faul)"", ""56' Goal_Home - Benrahma S.(Antonio M.)"", ""69' Goal_Away - Tielemans Y."", ""71' Yellow_Away - Pereira R.(Faul)"", ""80' Goal_Home - Antonio M.(Rice D.)"", ""84' Goal_Home - Antonio M.(Coufal V.)""]",2,23.08.2021,21:00,4.0,1.0,1.0,0.0,Home,2.56,3.45,2.9,2.56,True,True,False,False,False,False,False,False,1.0,6.0,-5.0,51%,49%,19,5,7,1,126,86,80,21,10,2,2,2,8,10,10,0,2,0,24,15,0,3,8,8,0,1,https://www.flashscore.com/match/fiqdHQfp/#/match-summary/match-summary
premier-league,Arsenal,Chelsea,"[""15' Goal_Away - Lukaku R.(James R.)"", ""34' Yellow_Home - Mari P.(Podcięcie)"", ""35' Goal_Away - James R.(Mount M.)"", ""45' Yellow_Home - Holding R.(Podcięcie)"", ""67' Yellow_Home - Lokonga A.S.(Przytrzymywanie)""]",2,22.08.2021,17:30,0.0,2.0,0.0,2.0,Away,4.25,3.7,1.92,1.92,False,False,False,True,False,False,False,False,8.0,2.0,6.0,35%,65%,6,22,3,5,90,83,48,59,2,6,1,11,4,15,9,8,5,0,14,22,3,3,10,4,3,0,https://www.flashscore.com/match/zRp8Sj3o/#/match-summary/match-summary
premier-league,Southampton,Manchester Utd,"[""30' Own_Home - Fred()"", ""31' Yellow_Away - Fernandes B.(Niesportowe zachowanie)"", ""51' Yellow_Home - Djenepo M.(Przytrzymywanie)"", ""55' Goal_Away - Greenwood M.(Pogba P.)"", ""76' Yellow_Away - Maguire H.(Nadmierna ostrość)"", ""90+1' Yellow_Away - Pogba P.(Podcięcie)"", ""90+2' Yellow_Home - Stephens J.(Nadmierna ostrość)""]",2,22.08.2021,15:00,1.0,1.0,1.0,0.0,Draw,5.9,4.35,1.6,4.35,False,False,False,False,False,False,False,False,2.0,6.0,-4.0,36%,64%,8,15,3,4,99,105,40,50,4,7,1,4,13,12,7,7,0,2,19,18,3,2,12,10,2,3,https://www.flashscore.com/match/jNvyM6nT/#/match-summary/match-summary
premier-league,Wolves,Tottenham,"[""09' Goal_Away - Alli D.(Penalty )"", ""38' Yellow_Away - Tanganga J.(Nadmierna ostrość)"", ""44' Yellow_Away - Skipp O.(Podcięcie)"", ""57' Yellow_Home - Jimenez R.(Nadmierna ostrość)"", ""85' Yellow_Away - Hojbjerg P.(Nadmierna ostrość)"", ""90+1' Yellow_Away - Kane H.(Niesportowe zachowanie)""]",2,22.08.2021,15:00,0.0,1.0,0.0,1.0,Away,3.25,3.22,2.46,2.46,False,False,False,True,False,False,False,False,6.0,3.0,3.0,58%,42%,25,8,6,6,134,82,90,25,9,0,10,2,7,10,5,4,2,0,28,20,5,6,9,7,1,4,https://www.flashscore.com/match/Ysr0GpAj/#/match-summary/match-summary
premier-league,Brighton,Watford,"[""10' Goal_Home - Duffy S.(Gross P.)"", ""41' Goal_Home - Maupay N.(Bissouma Y.)"", ""62' Yellow_Home - Webster A.(Faul)"", ""65' Yellow_Home - Duffy S.(Podcięcie)"", ""86' Yellow_Home - Mwepu E.(Podcięcie)"", ""90+1' Yellow_Home - March S.(Opóźnianie gry)""]",2,21.08.2021,18:30,2.0,0.0,2.0,0.0,Home,1.73,3.65,5.8,1.73,False,False,True,False,False,False,False,False,5.0,3.0,2.0,57%,43%,13,10,3,1,104,85,59,63,5,5,5,4,7,12,7,2,1,1,13,22,1,1,11,6,4,0,https://www.flashscore.com/match/rilGQUXc/#/match-summary/match-summary
premier-league,Aston Villa,Newcastle,"[""41' Yellow_Away - Wilson C.(Faul)"", ""45' Yellow_Away - Hayden I.(Przytrzymywanie)"", ""45+1' Yellow_Home - Luiz D.(Przytrzymywanie)"", ""45+3' Goal_Home - Ings D.(Mings T.)"", ""57' Yellow_Away - Murphy J.(Przytrzymywanie)"", ""62' Goal_Home - El-Ghazi A.(Penalty )"", ""75' Yellow_Home - Nadmierna ostrośćMartinez E.(Nadmierna ostrość)"", ""84' Yellow_Away - Schar F.(Podcięcie)"", ""85' Yellow_Home - Buendia E.(Faul)""]",2,21.08.2021,16:00,2.0,0.0,1.0,0.0,Home,1.84,3.95,4.35,1.84,False,False,False,False,True,False,False,False,4.0,5.0,-1.0,47%,53%,10,9,2,1,83,73,39,38,7,7,1,1,16,9,3,4,3,2,15,25,1,0,8,18,3,4,https://www.flashscore.com/match/EHqCRAIi/#/match-summary/match-summary
premier-league,Crystal Palace,Brentford,"[""29' Yellow_Home - Andersen J.(Podcięcie)"", ""52' Yellow_Away - Norgaard C.(Podcięcie)"", ""59' Yellow_Home - Benteke C."", ""76' Yellow_Home - Ward J.(Podcięcie)""]",2,21.08.2021,16:00,0.0,0.0,0.0,0.0,Draw,2.7,3.25,2.88,3.25,False,False,False,False,False,False,False,False,4.0,2.0,2.0,53%,47%,7,14,2,3,103,108,37,39,5,7,0,4,10,13,3,5,1,2,32,19,3,2,12,9,3,1,https://www.flashscore.com/match/MsmKPlm4/#/match-summary/match-summary
premier-league,Leeds,Everton,"[""28' Yellow_Home - Cooper L.(Przytrzymywanie)"", ""30' Goal_Away - Calvert-Lewin D.(Penalty )"", ""37' Yellow_Away - Mina Y.(Niesportowe zachowanie)"", ""37' Yellow_Home - Bamford P.(Niesportowe zachowanie)"", ""41' Goal_Home - Klich M.(Bamford P.)"", ""50' Goal_Away - Gray D.(Doucoure A.)"", ""68' Yellow_Away - Niesportowe zachowanieDigne L.(Niesportowe zachowanie)"", ""72' Goal_Home - Raphinha(Cooper L.)"", ""77' Yellow_Away - Coleman S.(Przytrzymywanie)"", ""82' Yellow_Away - Doucoure A.(Przytrzymywanie)""]",2,21.08.2021,16:00,2.0,2.0,1.0,1.0,Draw,2.16,3.55,3.55,3.55,True,True,False,False,False,True,False,False,1.0,2.0,-1.0,70%,30%,17,17,4,8,141,71,61,37,6,5,7,4,13,5,8,5,0,0,22,20,6,2,6,13,2,4,https://www.flashscore.com/match/46xPO82A/#/match-summary/match-summary
premier-league,Manchester City,Norwich,"[""07' Own_Home - Krul T.()"", ""16' Var_Home"", ""22' Goal_Home - Grealish J.(Jesus G.)"", ""39' Yellow_Home - Gundogan I.(Podcięcie)"", ""64' Goal_Home - Laporte A."", ""71' Goal_Home - Sterling R.(Jesus G.)"", ""84' Goal_Home - Mahrez R.(Dias R.)""]",2,21.08.2021,16:00,5.0,0.0,2.0,0.0,Home,1.14,11.11,17.0,1.14,True,True,False,False,False,False,False,False,3.0,3.0,0.0,67%,33%,16,1,4,0,153,31,89,10,5,1,7,0,10,14,6,1,2,3,20,10,0,0,13,7,1,0,https://www.flashscore.com/match/CWuXMnXM/#/match-summary/match-summary
premier-league,Liverpool,Burnley,"[""18' Goal_Home - Diogo Jota(Tsimikas K.)"", ""27' Var_Home"", ""69' Goal_Home - Mane S.(Alexander-Arnold T.)""]",2,21.08.2021,13:30,2.0,0.0,1.0,0.0,Home,1.22,7.25,14.5,1.22,False,False,False,False,False,False,False,False,1.0,2.0,-1.0,67%,33%,27,9,9,3,93,109,59,41,10,5,8,1,16,8,8,4,3,7,21,27,3,7,6,12,,,https://www.flashscore.com/match/I9tTNSHG/#/match-summary/match-summary
