,funding_total_usd,status,year_founded
0,1750000,acquired,2012
1,60000,operating,2014
2,1750000,operating,1984
3,2050000,operating,2001
4,40000,operating,2008
5,2535000,acquired,2010
6,4962651,operating,2008
7,420000,operating,2014
8,1250000,acquired,2011
9,35000000,operating,2000
10,50000,closed,2009
11,3000000,operating,2012
12,77500,operating,2010
13,794000,operating,2011
14,66450000,operating,2007
15,5500000,operating,2010
16,500000,operating,2010
17,3400000,operating,2011
18,199957,operating,2006
19,50000,operating,2009
20,14000000,acquired,1990
21,50000,closed,2008
22,1450000,operating,2010
23,30000000,operating,2002
24,500000,operating,2011
25,30000,operating,2011
26,117000000,operating,2001
27,750000,operating,2009
28,1500000,operating,2011
29,150000,operating,2000
30,41000000,operating,2008
31,2800000,operating,2007
32,5050000,operating,2013
33,15034750,operating,1998
34,111949900,operating,2006
35,400000,operating,2007
36,16000000,operating,2010
37,50000,closed,2010
38,200000,operating,2012
39,118000,closed,2012
40,5844811,operating,2008
41,250000,operating,2011
42,275000,operating,2008
43,85000000,acquired,1998
44,37644420,operating,2010
45,58000,operating,2011
46,6000,operating,2013
47,95875000,operating,2008
48,78089000,operating,2007
49,25000,operating,2013
50,500000,operating,2013
51,25654560,operating,2007
52,17800000,operating,1998
53,1000000,operating,2005
54,16000000,operating,2012
55,25000,operating,2014
56,1600000,operating,2010
57,500000,closed,2010
58,5740000,operating,2005
59,1465000,operating,2010
60,28000,operating,2013
61,503000,closed,2011
62,1200000,operating,2011
63,35000000,operating,2009
64,909940,operating,2010
65,169500000,operating,1986
66,150000,operating,2009
67,400000,operating,2009
68,1250000,operating,1997
69,750000,operating,2009
70,20000000,operating,2003
71,4000000,operating,2005
72,65000000,acquired,2004
73,25920000,operating,2006
74,1011601,operating,2007
75,390000,operating,2011
76,2000000,operating,2008
77,1000000,operating,2013
78,15000000,acquired,1999
79,56567194,operating,2002
80,3393925,operating,2007
81,2234979,operating,2009
82,81000,operating,2014
83,1050000,operating,2008
84,750000,operating,2010
85,38064570,acquired,2004
86,800000,operating,2013
87,1000000,operating,2004
88,17400000,operating,2011
89,37956999,operating,2011
90,450000,operating,1991
91,20900,operating,2005
92,3378975,operating,2005
93,9416354,acquired,2006
94,70288000,operating,2004
95,60000000,operating,2005
