,status,funding_total_usd,seed,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H,Funded-Founded,Google_hits_Nov_2024,category_number,year_founded,year_first_funded,year_last_funded,funding_duration,yfoundedS&P500,yfoundedUSComposite,yffundedS&P500,yffundedUSComposite,ylfundedS&P500,ylfundedUSComposite
0,acquired,22200000,0,5000000,10000000,4000000,0,0,0,0,0,2427,4750000000,1,2000,2006,2009,3,1427.2210688515315,3783.673341781374,1310.4612356239106,2263.4099660926604,947.3808357877084,1843.6966552734373
1,operating,4600000,1250000,1750000,0,0,0,0,0,0,0,241,3840000000,3,2010,2011,2014,3,1139.4966897546533,2348.6864534051297,1267.6388094463043,2677.4407503642733,1930.8680468555465,4373.665520535047
2,operating,1700000,200000,0,0,0,0,0,0,0,0,82,15380000000,1,2010,2010,2013,3,1139.4966897546533,2348.6864534051297,1139.4966897546533,2348.6864534051297,1642.9839839859312,3538.761121529507
3,operating,6000000,0,0,0,0,0,0,0,0,0,8869,15380000000,1,1985,2009,2009,0,186.73075660006447,290.0936256803839,947.3808357877084,1843.6966552734373,947.3808357877084,1843.6966552734373
4,operating,4000000,0,0,0,0,0,0,0,0,0,2326,5770000000,1,2001,2007,2007,0,1194.365630238645,2035.3384179489813,1477.2196396484376,2578.171354492188,1477.2196396484376,2578.171354492188
5,acquired,1975000,1000000,0,0,0,0,0,0,0,0,197,1210000000,4,2011,2011,2012,1,1267.6388094463043,2677.4407503642733,1267.6388094463043,2677.4407503642733,1379.1660641589797,2965.342175341993
6,operating,1000,1000,0,0,0,0,0,0,0,0,330,502000000,2,2007,2008,2008,0,1477.2196396484376,2578.171354492188,1221.2991669669984,2164.0048091827875,1221.2991669669984,2164.0048091827875
7,operating,27101994,0,0,7000000,0,0,0,0,0,0,1346,4750000000,1,2000,2003,2010,7,1427.2210688515315,3783.673341781374,964.643107501634,1645.7478085704058,1139.4966897546533,2348.6864534051297
8,acquired,7000000,0,0,0,0,0,0,0,0,0,1551,5150000000,1,1996,2000,2000,0,670.2171939653841,1164.4496826654367,1427.2210688515315,3783.673341781374,1427.2210688515315,3783.673341781374
9,operating,248650000,650000,53000000,60000000,125000000,0,0,0,0,0,-791,3730000000,4,2010,2008,2014,6,1139.4966897546533,2348.6864534051297,1221.2991669669984,2164.0048091827875,1930.8680468555465,4373.665520535047
10,closed,70000,70000,0,0,0,0,0,0,0,0,553,8760000000,7,2011,2013,2013,0,1267.6388094463043,2677.4407503642733,1642.9839839859312,3538.761121529507,1642.9839839859312,3538.761121529507
