year,fs_w_perc,fs_in_perc,ss_w_perc,bp_res_perc,df_perc,intercept
2004,1.2453191907524568,1.0394639662076193,1.3263684629635724,1.011742476878229,1.1247242263289607,-18.52190737342447
2005,1.2411570161817875,1.031411252938369,1.3058659859529262,1.0137192824188608,1.0991972249542967,-17.583623048633903
2006,1.2310199700819777,1.0204034922871879,1.2693994703950704,1.0146235514287731,1.1239745104262029,-16.055901825187615
2007,1.219143524165126,1.0553654500458207,1.3274529668140702,1.0170611382948747,1.163661714429126,-18.951037314778937
2008,1.2436768262973146,1.0416194098513356,1.3285160139084826,1.015931320862162,1.1807857118439946,-19.081643185951712
2009,1.2556943509275154,1.0345118393902062,1.3249346671446256,1.0132771659501798,1.1500492677062917,-18.82586615738605
2010,1.2739933443859188,1.0309515720789237,1.32916171913329,1.015796926786216,1.1639829587690855,-19.507691826258043
2011,1.262403834053888,1.0342646310388912,1.3263459803745974,1.0169066789160166,1.1638083665449372,-19.14270057627788
2012,1.2473344911213833,1.0548687681222926,1.3413059109429595,1.0163904287273082,1.1859676633504652,-20.17478598706844
2013,1.2570974887295454,1.0171992118317104,1.3104309848125917,1.0149355354065028,1.1158693346052162,-17.600871440458658
2014,1.2371506573187914,1.0103052986173378,1.2742560664484477,1.0135779239514058,1.1081440350528695,-15.971208066567097
2015,1.2517241390127367,1.0239684765199406,1.3236358041432443,1.0143105543050752,1.1207412511752983,-18.082270706682998
2016,1.2442168522283585,1.0251212968839445,1.294400813037945,1.0108108943439231,1.1218280360569082,-17.172247778872663
2017,1.2321586002590186,1.0467890862350993,1.315158604260259,1.0156828228896038,1.1010299156306484,-18.673958068398793
2018,1.2219004239153273,1.0358433512610723,1.2894990758251195,1.0159086555441075,1.142574083668805,-17.463250355372534
2019,1.2437217782526426,1.0241073550539777,1.3031448602463118,1.0143595132225403,1.12686986304047,-17.645277302988642
2020,1.2570231751578202,1.0432158358901278,1.3253612394439287,1.0146725284393634,1.0928849449310063,-19.283899751772662
2021,1.2467402015344198,1.0450743859463354,1.3332250423864191,1.0171667259527328,1.125381877865187,-19.347786276846985
2022,1.2377559688806823,1.041076749619719,1.3087311297686786,1.0172025094039772,1.139685859683614,-18.619579083800517
2023,1.2239188298354153,1.0529083039974618,1.3196866347632923,1.0166538426481107,1.1491051807613692,-19.01036151957313
2024,1.2373120877006754,1.0469211800953124,1.3130825366599956,1.0165167774667385,1.1569724027318293,-18.92777984449521
