year,Unnamed: 0,fs_w_perc,fs_in_perc,ss_w_perc,bp_res_perc,df_perc
2004,2878.5,42.95135428435015,60.317867438031676,20.078160246678934,60.30340288362074,3.400181904410306
2005,8668.5,42.62056076670878,60.372043334871464,20.001815497222108,60.05075920180126,3.1932994514137403
2006,14486.5,42.560448119401364,60.480736599054644,19.90295881323805,59.746622578685006,2.969010194571202
2007,20200.0,43.31457116176739,60.80117655028896,19.925524236198406,59.89859654237539,2.8004421182111576
2008,25770.5,43.379605528199995,61.08293761162659,19.872913312458756,60.68285437918429,2.8514479539955615
2009,31260.5,43.55707292992354,60.954593726101265,19.855886201573636,60.2949177057898,2.988177099319994
2010,36672.5,43.620142285265175,61.19014749257499,19.772840786093692,60.51472866151037,2.928139570155258
2011,42044.5,42.9326159048784,60.761795156648056,19.919414358563856,59.49904190998603,3.020888842650757
2012,47410.5,43.17216043604533,60.91722743574344,19.91075053408849,60.47502768398844,2.9199515793254567
2013,52703.5,43.47666815481365,60.93354675858455,19.842252822202227,60.97946018516263,3.054954438749813
2014,57890.0,44.023294034786126,61.101362678607906,19.83082131590837,61.191386169134084,3.0870633845159663
2015,61825.5,43.67346507603223,61.36555171845766,19.849214400088197,60.74321535084124,2.8115680081977206
2016,66090.5,43.28281661013844,60.41740560049588,20.174787624052197,60.21830546116157,3.3002992191644536
2017,71828.0,43.69404679707934,60.73096462572803,20.01577381064571,60.69116298485778,3.3397655450080155
2018,77513.5,44.03260749658408,61.171727056726915,19.790646474134757,61.05976875536506,3.305501936439448
2019,83054.5,44.76389112709608,62.086937240744845,19.409041913654487,61.05673350868449,3.2527502050902455
2020,87159.5,44.26735221558877,62.15130193167516,19.03732762998855,61.395731925087034,3.0725776705455616
2021,91208.5,44.11049823670018,62.027525549638206,19.13068074126746,59.87548683600243,3.1627491313863487
2022,96466.5,44.902677491810685,62.82094121725619,18.9350899446419,60.64063539520924,2.980799982520459
2023,101830.5,44.77896405313591,62.422370341428675,19.1825042903515,61.18987567210557,2.9446798722054743
2024,105977.5,44.34750156406056,62.71898166977354,18.960373072691485,60.96421791371788,2.6215382292616813
