tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2004-1536,Madrid Masters,Hard,48,M,20041018,1,102610,,,Albert Costa,R,180,ESP,29.3,103789,,,Irakli Labadze,L,188,GEO,23.3,6-2 5-7 7-5,3,R64,161,8,1,99,58,45,21,16,8,10,5,13,118,64,40,28,16,13,17,54,705,65,598
2004-1536,Madrid Masters,Hard,48,M,20041018,2,103344,,,Ivan Ljubicic,R,193,CRO,25.5,104607,,Q,Tomas Berdych,R,196,CZE,19.0,6-4 6-4,3,R64,76,10,3,55,29,26,15,10,1,1,6,4,58,29,21,16,10,4,6,29,1085,38,883
2004-1536,Madrid Masters,Hard,48,M,20041018,3,102179,,Q,Antony Dupuis,R,185,FRA,31.6,102860,,,Agustin Calleri,R,183,ARG,28.0,6-4 6-4,3,R64,72,9,0,49,32,27,14,10,0,0,5,5,65,28,23,19,10,2,4,96,436,56,685
2004-1536,Madrid Masters,Hard,48,M,20041018,4,103084,,,Guillermo Canas,R,185,ARG,26.8,104019,,Q,Kristof Vliegen,R,193,BEL,22.3,5-7 7-5 6-1,3,R64,147,6,7,88,44,32,24,16,2,6,9,3,107,53,35,23,15,4,10,16,1369,112,384
2004-1536,Madrid Masters,Hard,48,M,20041018,5,104417,,,Robin Soderling,R,193,SWE,20.1,104252,,,Florian Mayer,R,190,GER,21.0,6-3 7-6(2),3,R64,79,8,1,96,57,45,19,11,5,5,4,1,57,37,27,13,10,2,3,34,965,35,961
2004-1536,Madrid Masters,Hard,48,M,20041018,6,102374,,WC,Alex Corretja,R,180,ESP,30.5,103970,,WC,David Ferrer,R,175,ESP,22.5,7-5 6-1,3,R64,72,5,2,51,25,25,16,10,1,1,4,6,62,34,26,8,9,2,5,86,471,42,824
2004-1536,Madrid Masters,Hard,48,M,20041018,7,103163,,,Tommy Haas,R,188,GER,26.5,103598,,,Xavier Malisse,R,185,BEL,24.2,6-4 6-1,3,R64,58,4,3,49,30,26,12,9,4,4,5,2,43,25,18,7,8,1,4,26,1135,49,760
2004-1536,Madrid Masters,Hard,48,M,20041018,8,103758,,,Taylor Dent,R,188,USA,23.4,104022,,,Mikhail Youzhny,R,183,RUS,22.3,6-3 6-2,3,R64,55,5,0,44,32,28,8,9,0,0,3,7,54,30,18,10,8,3,6,40,855,31,1065
2004-1536,Madrid Masters,Hard,48,M,20041018,9,103632,,,Luis Horna,R,180,PER,24.0,102271,,,Hicham Arazi,L,175,MAR,30.9,6-4 7-5,3,R64,96,6,2,73,39,29,19,11,3,4,4,1,75,49,30,15,11,7,10,41,845,48,765
2004-1536,Madrid Masters,Hard,48,M,20041018,10,103888,,,Mardy Fish,R,188,USA,22.8,104339,,,Mario Ancic,R,196,CRO,20.5,0-6 6-4 6-4,3,R64,101,4,5,64,28,22,20,13,0,3,9,6,87,48,35,21,13,6,8,30,1070,28,1111
2004-1536,Madrid Masters,Hard,48,M,20041018,11,102905,,Q,Stefan Koubek,L,175,AUT,27.7,102854,,,Sjeng Schalken,R,193,NED,28.1,6-4 6-4,3,R64,76,5,2,53,36,29,8,10,1,3,0,3,66,40,23,13,10,5,9,92,442,55,705
2004-1536,Madrid Masters,Hard,48,M,20041018,12,103852,,,Feliciano Lopez,L,188,ESP,23.0,103333,,,Ivo Karlovic,R,208,CRO,25.6,6-4 6-7(10) 7-6(5),3,R64,132,8,3,110,74,63,23,17,4,4,35,6,107,74,64,20,17,1,2,27,1120,64,604
