,word,Frequency
1,school,16
2,tax,11
3,businesses,10
4,find,9
5,online,9
6,world,7
7,state,7
8,education,7
9,programs,7
10,start,7
11,search,7
12,small,7
13,a,7
14,global,7
15,university,6
16,manage,6
17,information,6
18,get,6
19,help,6
20,new,6
21,file,5
22,license,5
23,services,5
24,financial,5
25,mba,5
26,leaders,5
27,development,5
28,payments,5
29,make,5
30,profile,5
31,research,5
32,executive,5
33,how,5
34,google,4
35,support,4
36,plan,4
37,use,4
38,learn,4
39,indiana,4
40,management,4
41,ideas,4
42,dec,4
43,explore,4
44,maryland,4
45,offers,4
46,public,4
47,tap,4
48,trump,4
49,select,4
50,secretary,4
51,division,4
52,sustainable,4
53,create,4
54,with,4
55,name,4
56,filing,4
57,america,3
58,office,3
59,using,3
60,apply,3
61,system,3
62,records,3
63,starting,3
64,must,3
65,agency,3
66,making,3
67,transportation,3
68,oregon,3
69,rural,3
70,data,3
71,million,3
72,conduct,3
73,report,3
74,economy,3
75,local,3
76,virginia,3
77,professional,3
78,for,3
79,leading,3
80,people,3
81,innovative,3
82,administration,3
83,provides,3
84,https,3
85,principled,3
86,texas,3
87,legal,3
88,taxes,3
89,drive,3
90,companies,3
91,discover,3
92,climate,3
93,innovation,3
94,need,3
95,funding,3
96,undergraduate,3
97,grow,3
98,we,3
