,word,Frequency
1,change,31
2,action,17
3,greenhouse,12
4,gas,12
5,reduce,9
6,emissions,9
7,world,8
8,science,8
9,new,7
10,impacts,7
11,program,7
12,united,7
13,data,7
14,provides,7
15,global,7
16,energy,6
17,we,6
18,information,6
19,national,6
20,solutions,5
21,weather,5
22,communities,5
23,community,5
24,states,5
25,people,5
26,adaptation,5
27,resilience,5
28,plan,5
29,city,4
30,temperature,4
31,across,4
32,work,4
33,help,4
34,working,4
35,countries,4
36,governments,4
37,international,4
38,group,4
39,including,4
40,assessment,4
41,leading,4
42,access,4
43,what,4
44,pollution,4
45,it,4
46,works,4
47,leaders,4
48,businesses,4
49,water,4
50,goal,4
51,support,4
52,center,4
53,sea,3
54,level,3
55,in,3
56,related,3
57,initiative,3
58,largest,3
59,network,3
60,partners,3
61,take,3
62,companies,3
63,finance,3
64,local,3
65,transportation,3
66,pledge,3
67,public,3
68,natural,3
69,portal,3
70,project,3
71,state,3
72,policy,3
73,grants,3
74,transition,3
75,council,3
76,combat,3
77,earth,3
78,advance,3
79,since,3
80,use,3
81,research,3
82,programs,3
83,this,3
84,risk,3
85,european,3
86,explore,3
87,human,3
88,for,3
89,nations,3
90,future,3
91,york,3
92,develops,3
93,crisis,3
