,word,Frequency
1,department,23
2,care,21
3,services,19
4,public,17
5,information,13
6,learn,9
7,state,9
8,improve,8
9,people,8
10,official,8
11,medical,8
12,programs,8
13,human,8
14,website,7
15,county,7
16,healthcare,7
17,one,7
18,find,7
19,disease,7
20,hospitals,6
21,promote,6
22,records,6
23,policy,6
24,system,6
25,birth,6
26,new,6
27,a,6
28,mental,6
29,provides,6
30,research,6
31,national,6
32,help,5
33,federal,5
34,education,5
35,healthy,5
36,data,5
37,agency,5
38,york,5
39,world,5
40,california,5
41,united,5
42,view,5
43,program,5
44,centers,5
45,insurance,5
46,get,4
47,resources,4
48,welcome,4
49,washington,4
50,leading,4
51,family,4
52,an,4
53,government,4
54,reports,4
55,dedicated,4
56,mission,4
57,work,4
58,states,3
59,your,3
60,mayo,3
61,professional,3
62,clinic,3
63,use,3
64,nih,3
65,institutes,3
66,more,3
67,schedule,3
68,home,3
69,center,3
70,call,3
71,free,3
72,organization,3
73,behavioral,3
74,our,3
75,record,3
76,it,3
77,right,3
78,outcomes,3
79,disabilities,3
80,death,3
81,texas,3
82,we,3
83,doh,3
84,facilities,3
85,vital,3
86,includes,3
87,community,3
88,improving,3
89,countries,3
90,within,3
91,serve,3
92,hhs,3
93,working,3
94,offers,3
95,plan,3
96,quality,3
97,protect,3
98,service,3
99,study,3
100,injury,3
101,nutrition,3
102,including,3
