,word,Frequency
1,political,43
2,international,16
3,department,16
4,program,14
5,study,12
6,university,12
7,students,12
8,a,11
9,women,9
10,center,9
11,government,8
12,major,8
13,science,7
14,research,7
15,we,7
16,theory,6
17,affairs,6
18,american,6
19,global,6
20,faculty,6
21,trump,6
22,critical,5
23,understanding,5
24,skills,5
25,offers,5
26,studies,5
27,institute,5
28,state,5
29,methods,5
30,policy,5
31,public,5
32,new,5
33,analysis,5
34,world,5
35,graduate,4
36,offer,4
37,history,4
38,national,4
39,home,4
40,people,4
41,courses,4
42,including,4
43,one,4
44,founded,4
45,college,4
46,comparative,4
47,cultural,4
48,news,4
49,this,4
50,broad,4
51,interdisciplinary,4
52,law,4
53,relations,4
54,explore,4
55,course,3
56,within,3
57,classes,3
58,issues,3
59,educational,3
60,hall,3
61,bring,3
62,degree,3
63,business,3
64,back,3
65,undergraduate,3
66,security,3
67,arts,3
68,critically,3
69,prepares,3
70,lives,3
71,series,3
72,leaders,3
73,service,3
74,together,3
75,take,3
76,unique,3
77,opportunity,3
78,practical,3
79,community,3
80,governments,3
81,provide,3
82,designed,3
83,social,3
84,place,3
85,learn,3
86,our,3
87,bachelor,3
88,us,3
89,master,3
90,princeton,3
