,word,Frequency
1,research,17
2,scientific,15
3,sciences,11
4,standards,9
5,museum,9
6,education,9
7,we,9
8,world,8
9,mission,8
10,college,7
11,public,7
12,scientists,7
13,natural,7
14,learning,7
15,open,6
16,center,6
17,provides,6
18,state,6
19,stem,6
20,health,6
21,data,6
22,a,6
23,one,5
24,transform,5
25,leading,5
26,knowledge,5
27,life,5
28,technology,5
29,engineering,5
30,framework,4
31,best,4
32,discover,4
33,students,4
34,resources,4
35,welcome,4
36,explore,4
37,new,4
38,nation,4
39,nasa,4
40,exhibitions,4
41,development,4
42,programs,4
43,exhibits,4
44,at,4
45,journal,4
46,discovery,4
47,experience,4
48,computer,4
49,major,4
50,physical,4
51,use,4
52,learn,4
53,engineers,4
54,web,4
55,department,4
56,tickets,4
57,university,3
58,bird,3
59,advance,3
60,support,3
61,services,3
62,generation,3
63,this,3
64,inquiry,3
65,tools,3
66,shows,3
67,discoveries,3
68,dinosaurs,3
69,make,3
70,social,3
71,creative,3
72,find,3
73,academic,3
74,information,3
75,study,3
76,including,3
77,institute,3
78,future,3
79,approach,3
80,engaging,3
81,ocean,3
82,understanding,3
83,environment,3
84,earth,3
85,visit,3
86,medical,3
87,source,3
88,school,3
89,protect,3
90,improve,3
91,interdisciplinary,3
92,based,3
93,advanced,3
94,free,3
95,international,3
96,in,3
