,word,Frequency
1,sports,34
2,women,8
3,basketball,8
4,management,8
5,live,7
6,program,6
7,hockey,6
8,a,6
9,official,6
10,ice,5
11,match,5
12,country,5
13,news,5
14,pickleball,5
15,baseball,5
16,president,5
17,learn,5
18,girls,5
19,men,5
20,community,5
21,world,5
22,football,5
23,tennis,5
24,research,5
25,fishing,5
26,students,5
27,global,4
28,physical,4
29,is,4
30,secretary,4
31,designed,4
32,today,4
33,college,4
34,recreational,4
35,scores,4
36,every,4
37,del,4
38,cross,4
39,international,4
40,state,4
41,health,4
42,working,4
43,shop,4
44,boys,3
45,air,3
46,starting,3
47,dog,3
48,values,3
49,most,3
50,rights,3
51,human,3
52,veterans,3
53,gear,3
54,people,3
55,venue,3
56,youth,3
57,soccer,3
58,nfl,3
59,training,3
60,need,3
61,style,3
62,safe,3
63,we,3
64,golf,3
65,jan,3
66,association,3
67,fun,3
68,performance,3
69,best,3
70,independent,3
71,journal,3
72,ingredients,3
73,england,3
74,vs,3
75,india,3
76,final,3
77,aims,3
78,this,3
79,volleyball,3
80,business,3
81,take,3
82,fish,3
83,leading,3
84,committee,3
85,group,3
86,cricket,3
87,applied,3
