,word,Frequency
1,world,12
2,veterans,11
3,military,10
4,united,9
5,may,8
6,civil,8
7,memorial,8
8,states,8
9,crimes,7
10,international,7
11,national,7
12,new,6
13,college,6
14,located,6
15,act,6
16,museum,6
17,history,6
18,american,6
19,one,5
20,for,5
21,conflict,5
22,also,5
23,mar,4
24,us,4
25,ii,4
26,service,4
27,story,4
28,law,4
29,it,4
30,armed,4
31,a,4
32,provides,4
33,global,4
34,jul,4
35,served,4
36,jun,4
37,we,4
38,cold,4
39,security,3
40,revolutionary,3
41,institute,3
42,students,3
43,known,3
44,end,3
45,general,3
46,resolution,3
47,experience,3
48,president,3
49,explore,3
50,defense,3
51,information,3
52,largest,3
53,treatment,3
54,naval,3
55,study,3
56,boeing,3
57,live,3
58,apr,3
59,forces,3
60,scholars,3
61,years,3
62,project,3
63,indiana,3
64,gulf,3
65,children,3
66,an,3
67,purpose,3
68,this,3
69,path,3
70,humanity,3
71,support,3
72,british,3
73,cessna,3
